iter	Logloss
0	0.6123873442
1	0.5438420154
2	0.4856108725
3	0.4453789262
4	0.4192372514
5	0.3943388139
6	0.3757791717
7	0.3597272007
8	0.3433201812
9	0.3274113306
10	0.3171243283
11	0.3084529936
12	0.3022703162
13	0.2937159957
14	0.2885858135
15	0.2797574902
16	0.2754789422
17	0.2717653046
18	0.2676728437
19	0.2652838418
20	0.2634290491
21	0.260969107
22	0.2589342018
23	0.255415536
24	0.2541282938
25	0.2527890012
26	0.2502009951
27	0.247830808
28	0.2454899861
29	0.2439941445
30	0.241667736
31	0.2372955026
32	0.235525489
33	0.234352939
34	0.2334001301
35	0.2321701048
36	0.231708983
37	0.2309589208
38	0.229853026
39	0.2292796742
40	0.2288030981
41	0.2281121946
42	0.2271725619
43	0.2253407014
44	0.2249885562
45	0.2242493801
46	0.223868826
47	0.2224006245
48	0.2210449922
49	0.2207476396
50	0.2203828725
51	0.2197485773
52	0.2193027381
53	0.2190133926
54	0.2187731023
55	0.2183597131
56	0.2179178767
57	0.2175729961
58	0.217418344
59	0.2171378462
60	0.2169155966
61	0.2167420008
62	0.2159470468
63	0.2157965991
64	0.2156128535
65	0.2148137536
66	0.2124018231
67	0.2122445298
68	0.2120438977
69	0.2119596453
70	0.2118968705
71	0.2116276917
72	0.2115187011
73	0.2114525124
74	0.2112745331
75	0.2109050606
76	0.2107433389
77	0.2103807916
78	0.2094608972
79	0.2093288842
80	0.2090324417
81	0.2089023194
82	0.2086253077
83	0.2084971635
84	0.2083111713
85	0.2080797564
86	0.2079229637
87	0.2077964486
88	0.2074801841
89	0.2072619146
90	0.207180214
91	0.2070554112
92	0.2060283153
93	0.2055179258
94	0.2052237243
95	0.2050993642
96	0.2048264078
97	0.2046690599
98	0.2044589434
99	0.2041825392
100	0.2041150464
101	0.2039347999
102	0.2039327801
103	0.2036799024
104	0.2036010965
105	0.2026595827
106	0.2026012688
107	0.2025569458
108	0.202318642
109	0.2017657827
110	0.2016356173
111	0.2016167218
112	0.2016015209
113	0.2015075644
114	0.2014392096
115	0.2013303593
116	0.2012121344
117	0.2010930781
118	0.2009949302
119	0.2004738073
120	0.2000538416
121	0.2000035165
122	0.1998580197
123	0.199787499
124	0.1996769429
125	0.1996696932
126	0.1996406632
127	0.1992440245
128	0.1989883823
129	0.198925175
130	0.1989221783
131	0.1988435301
132	0.1986477706
133	0.1985302819
134	0.198358421
135	0.1983556741
136	0.1982338454
137	0.1978570828
138	0.1976044645
139	0.1973900752
140	0.1973729094
141	0.1972396547
142	0.1971782537
143	0.1970054658
144	0.1969467745
145	0.1968435886
146	0.1968403628
147	0.1966343958
148	0.1965247454
149	0.1965022944
150	0.1963514848
151	0.1961775942
152	0.1961028816
153	0.1957941984
154	0.1957353008
155	0.1956948772
156	0.1952920903
157	0.1951252273
158	0.1949961042
159	0.1949398681
160	0.1947645521
161	0.1947065317
162	0.1945757357
163	0.1944839397
164	0.1943709707
165	0.1943698797
