iter	Passed	Remaining
0	77	77867
1	159	79602
2	245	81582
3	324	80891
4	398	79283
5	473	78449
6	552	78360
7	632	78404
8	712	78450
9	789	78178
10	867	78038
11	945	77842
12	1021	77549
13	1091	76889
14	1158	76073
15	1228	75555
16	1303	75393
17	1371	74795
18	1443	74552
19	1511	74040
20	1578	73599
21	1653	73516
22	1727	73396
23	1798	73153
24	1869	72907
25	1940	72696
26	2014	72607
27	2088	72484
28	2152	72056
29	2222	71855
30	2293	71684
31	2381	72054
32	2461	72137
33	2553	72550
34	2636	72689
35	2715	72703
36	2790	72615
37	2861	72446
38	2941	72478
39	3024	72598
40	3106	72662
41	3183	72607
42	3259	72544
43	3331	72392
44	3403	72221
45	3473	72028
46	3541	71817
47	3609	71582
48	3679	71417
49	3751	71270
50	3818	71051
51	3887	70878
52	3954	70656
53	4025	70517
54	4095	70365
55	4165	70214
56	4236	70085
57	4302	69883
58	4370	69711
59	4437	69525
60	4508	69397
61	4582	69322
62	4650	69167
63	4718	69012
64	4790	68905
65	4869	68915
66	4945	68874
67	5020	68810
68	5094	68738
69	5165	68621
70	5231	68453
71	5296	68262
72	5361	68087
73	5425	67891
74	5497	67800
75	5568	67702
76	5640	67607
77	5707	67460
78	5776	67345
79	5844	67211
80	5912	67077
81	5977	66924
82	6047	66817
83	6124	66790
84	6194	66684
85	6268	66621
86	6337	66509
87	6404	66371
88	6473	66257
89	6540	66136
90	6605	65986
91	6672	65852
92	6735	65691
93	6804	65582
94	6878	65530
95	6959	65536
96	7039	65529
97	7113	65475
98	7189	65428
99	7260	65342
100	7331	65255
101	7403	65183
102	7462	64986
103	7535	64917
104	7600	64786
105	7665	64652
106	7730	64518
107	7796	64390
108	7859	64249
109	7926	64132
110	7992	64014
111	8058	63891
112	8121	63749
113	8189	63645
114	8254	63520
115	8317	63385
116	8387	63299
117	8453	63187
118	8537	63206
119	8610	63143
120	8682	63072
121	8752	62991
122	8830	62960
123	8907	62928
124	8979	62858
125	9051	62786
126	9122	62708
127	9191	62617
128	9256	62497
129	9322	62388
130	9391	62296
131	9460	62207
132	9530	62128
133	9595	62013
134	9662	61911
135	9724	61782
136	9790	61671
137	9856	61568
138	9924	61472
139	10004	61456
140	10079	61403
141	10151	61337
142	10220	61250
143	10291	61177
144	10364	61113
145	10429	61003
146	10496	60905
147	10562	60804
148	10631	60719
149	10697	60619
150	10773	60574
151	10843	60493
152	10915	60428
153	10985	60350
154	11053	60257
155	11126	60196
156	11200	60140
157	11272	60071
158	11343	59999
159	11413	59919
160	11486	59860
161	11560	59801
162	11635	59746
163	11721	59751
164	11800	59718
165	11874	59657
166	11950	59608
167	12026	59561
168	12095	59474
169	12163	59384
170	12229	59286
171	12295	59190
172	12361	59092
173	12438	59047
174	12514	58995
175	12589	58944
176	12662	58874
177	12729	58783
178	12800	58708
179	12869	58628
180	12937	58542
181	13008	58468
182	13075	58375
183	13145	58297
184	13211	58202
185	13284	58139
186	13366	58111
187	13452	58102
188	13533	58073
189	13617	58051
190	13695	58008
191	13772	57958
192	13849	57908
193	13922	57841
194	13995	57775
195	14067	57704
196	14138	57629
197	14207	57549
198	14274	57457
199	14342	57370
200	14415	57301
201	14485	57225
202	14556	57151
203	14624	57062
204	14704	57024
205	14778	56961
206	14852	56897
207	14922	56819
208	14996	56755
209	15077	56718
210	15149	56648
211	15220	56574
212	15300	56532
213	15370	56455
214	15442	56383
215	15514	56313
216	15586	56240
217	15654	56154
218	15721	56064
219	15787	55973
220	15852	55878
221	15919	55789
222	15992	55723
223	16058	55631
224	16125	55542
225	16188	55440
226	16266	55392
227	16353	55372
228	16430	55318
229	16507	55264
230	16587	55218
231	16661	55156
232	16734	55086
233	16806	55015
234	16873	54929
235	16942	54847
236	17013	54772
237	17079	54684
238	17145	54592
239	17210	54500
240	17276	54411
241	17353	54354
242	17425	54283
243	17500	54223
244	17570	54145
245	17640	54068
246	17720	54022
247	17802	53981
248	17879	53926
249	17954	53862
250	18039	53829
251	18113	53765
252	18188	53703
253	18262	53637
254	18332	53560
255	18406	53492
256	18478	53422
257	18551	53353
258	18624	53285
259	18694	53208
260	18763	53127
261	18842	53075
262	18913	53002
263	18998	52965
264	19073	52903
265	19149	52840
266	19221	52768
267	19296	52706
268	19372	52644
269	19445	52574
270	19512	52488
271	19579	52402
272	19644	52314
273	19713	52232
274	19780	52148
275	19850	52072
276	19917	51987
277	19988	51913
278	20056	51829
279	20123	51746
280	20189	51659
281	20256	51574
282	20332	51513
283	20401	51435
284	20474	51365
285	20545	51292
286	20618	51222
287	20691	51153
288	20763	51081
289	20843	51029
290	20915	50958
291	20990	50894
292	21065	50831
293	21137	50759
294	21205	50678
295	21278	50608
296	21344	50523
297	21415	50449
298	21484	50369
299	21549	50281
300	21621	50210
301	21711	50180
302	21797	50141
303	21871	50074
304	21953	50025
305	22033	49971
306	22109	49909
307	22183	49841
308	22254	49766
309	22323	49688
310	22394	49612
311	22462	49532
312	22530	49451
313	22600	49374
314	22669	49296
315	22736	49213
316	22809	49143
317	22877	49064
318	22946	48985
319	23018	48913
320	23088	48838
321	23166	48779
322	23247	48727
323	23324	48665
324	23396	48592
325	23475	48534
326	23552	48472
327	23634	48421
328	23709	48356
329	23784	48289
330	23862	48229
331	23942	48172
332	24008	48089
333	24079	48014
334	24151	47941
335	24221	47866
336	24291	47789
337	24364	47720
338	24439	47652
339	24502	47562
340	24568	47480
341	24634	47395
342	24703	47317
343	24772	47240
344	24847	47174
345	24920	47104
346	24990	47028
347	25080	46990
348	25162	46937
349	25246	46886
350	25327	46830
351	25407	46773
352	25490	46720
353	25567	46657
354	25646	46596
355	25719	46526
356	25792	46454
357	25861	46377
358	25936	46309
359	26006	46233
360	26073	46152
361	26141	46073
362	26208	45991
363	26274	45908
364	26340	45825
365	26410	45748
366	26477	45667
367	26546	45590
368	26621	45523
369	26693	45451
370	26762	45374
371	26828	45291
372	26898	45215
373	26981	45161
374	27059	45098
375	27137	45036
376	27210	44966
377	27291	44908
378	27369	44845
379	27442	44775
380	27513	44700
381	27582	44623
382	27650	44543
383	27718	44464
384	27790	44392
